    0.483176774874489539E+02    0.491194922958169897E+02    0.261418735440019212E+02    0.529795775023432025E+01    0.126663037410288082E+01    0.578273279623654712E+00    0.841252529335691293E+02    0.261815819206035840E+02    0.590806860439494752E+01    0.122360565565934243E+01   -0.168314916992187500E+04
    0.483568285404449583E+02    0.490869544353846408E+02    0.260621471553389554E+02    0.570349174435134199E+01    0.134178507072408504E+01    0.564702363156791676E+00    0.843344675073873304E+02    0.262091758223914724E+02    0.577280193578924905E+01    0.105492497472936031E+01   -0.167588696289062500E+04
    0.482887981871698315E+02    0.490933423355491314E+02    0.261381672290583111E+02    0.551128586093294270E+01    0.122383306834766081E+01    0.592457978724185153E+00    0.837991001887855305E+02    0.263039246943513518E+02    0.538957738385011176E+01    0.108631668387446290E+01   -0.167568920898437500E+04
    0.483165268174428562E+02    0.490902031661466580E+02    0.261531232710248318E+02    0.537542290576094928E+01    0.121547808975086280E+01    0.597840699217560445E+00    0.850355845826211123E+02    0.263333599987449141E+02    0.524969345234235973E+01    0.795009864652371223E+00   -0.167513684082031250E+04
    0.482562024709907362E+02    0.491592498627385837E+02    0.261335086553820339E+02    0.540570739753423624E+01    0.121261514413243532E+01    0.579230353766298500E+00    0.837107495361995007E+02    0.262860127258249747E+02    0.541751098783285379E+01    0.955797219886146854E+00   -0.167501147460937500E+04
    0.483492159271388360E+02    0.491267542030892557E+02    0.261863430437236282E+02    0.516472507916819090E+01    0.109037068302657780E+01    0.590272059217983536E+00    0.831521499423669752E+02    0.263145551912685036E+02    0.524046031505249044E+01    0.930506996356586180E+00   -0.167500341796875000E+04
    0.482693215879732662E+02    0.491338203435132570E+02    0.261391848476110553E+02    0.532878767794071884E+01    0.112453556238569075E+01    0.582130839138471190E+00    0.833702873105255549E+02    0.262548790672089858E+02    0.570050913158529582E+01    0.103303152234413309E+01   -0.167479467773437500E+04
    0.483713290535555558E+02    0.491074479860179309E+02    0.261412793879029088E+02    0.537842512922932148E+01    0.122422265754242732E+01    0.589856609188507020E+00    0.854885901289921435E+02    0.262917261071188229E+02    0.529698998213849226E+01    0.102308472985102572E+01   -0.167463330078125000E+04
    0.483440793864598177E+02    0.490917149443474941E+02    0.261224643238615393E+02    0.531532804769532330E+01    0.117233692317974736E+01    0.559688989705327211E+00    0.858188725208565870E+02    0.262727592078379679E+02    0.533770134947611830E+01    0.971211669000881184E+00   -0.167450659179687500E+04
    0.483860991757538912E+02    0.490951766030700369E+02    0.261057597806243749E+02    0.538376841325818045E+01    0.118488719607860959E+01    0.561624345682348203E+00    0.858795864275424208E+02    0.262431834948310438E+02    0.546824739306451946E+01    0.102197430015040491E+01   -0.167424987792968750E+04
    0.482649694764844313E+02    0.491321807872940681E+02    0.261321521351990960E+02    0.529345738297562463E+01    0.114368393696128434E+01    0.567003413959541236E+00    0.831836829480484425E+02    0.262526603633923088E+02    0.555835510790224774E+01    0.110468936838678422E+01   -0.167410827636718750E+04
    0.482782582704466137E+02    0.491450908517173843E+02    0.261727785777596367E+02    0.516969792308223752E+01    0.109868072289418262E+01    0.581593430167749670E+00    0.840830119988769411E+02    0.262930233204686736E+02    0.539906005577241999E+01    0.924222175868937956E+00   -0.167407678222656250E+04
    0.483080218307369833E+02    0.490966323652440479E+02    0.261341296986706446E+02    0.544517131575847468E+01    0.125065831789763049E+01    0.576442940448821717E+00    0.839002793094124968E+02    0.262787355721163003E+02    0.541462652605822470E+01    0.109136238305190059E+01   -0.167394628906250000E+04
    0.483310079838854421E+02    0.491055687143975561E+02    0.261227622741916292E+02    0.534015004497444679E+01    0.111423360298216023E+01    0.573408439988169705E+00    0.837667616685124301E+02    0.262213640698678532E+02    0.583976615354962281E+01    0.109609515971031901E+01   -0.167379467773437500E+04
    0.482664165087260173E+02    0.491291863116813872E+02    0.261136414772939993E+02    0.532630146957616724E+01    0.110734850497808024E+01    0.565735674938545485E+00    0.839410292840217949E+02    0.262133235573418659E+02    0.579279903753476599E+01    0.111387464881380982E+01   -0.167376342773437500E+04
    0.483233337663222855E+02    0.491284955884943173E+02    0.261865458768734634E+02    0.517392376603151050E+01    0.113132311518943895E+01    0.591667335098863045E+00    0.853477394790376422E+02    0.263097523294423219E+02    0.545404141255806074E+01    0.105040376710172945E+01   -0.167345434570312500E+04
    0.482778363919612588E+02    0.491434568397665714E+02    0.261405460857264451E+02    0.540644058103361846E+01    0.121868236751663273E+01    0.584617160403237857E+00    0.847566507574846639E+02    0.262712719190200765E+02    0.546062614976780125E+01    0.974648793339293884E+00   -0.167345043945312500E+04
    0.482883922454442782E+02    0.490970116966491972E+02    0.261646456106278968E+02    0.527212027109627446E+01    0.123384726977297854E+01    0.587241084954691517E+00    0.838437076803778041E+02    0.262729828888337913E+02    0.556755095073483730E+01    0.114858731847829687E+01   -0.167331030273437500E+04
    0.482871773307320140E+02    0.491185942924342882E+02    0.261072644661181350E+02    0.549516614281740878E+01    0.127352833105348795E+01    0.574307620482363057E+00    0.823524030822111968E+02    0.262371770081178965E+02    0.563160753462992947E+01    0.116196508164803314E+01   -0.167289672851562500E+04
    0.482944251197163084E+02    0.491142154576623327E+02    0.261537033177129423E+02    0.534013217064804024E+01    0.122506788997441873E+01    0.589509171867509618E+00    0.853005687557410965E+02    0.263100969003283254E+02    0.548038621896435796E+01    0.943689226597124398E+00   -0.167282214355468750E+04
    0.482996217539794870E+02    0.491130508319540837E+02    0.261650416582117167E+02    0.523237134808330762E+01    0.117265276883745084E+01    0.587670773544630487E+00    0.846782835450139828E+02    0.263108676269457042E+02    0.542059385631382096E+01    0.836718833250930105E+00   -0.167276867675781250E+04
    0.483351375060936519E+02    0.490637072572514796E+02    0.261298509241462149E+02    0.542443612395036467E+01    0.122451542337292607E+01    0.590325773854111779E+00    0.829370542575648813E+02    0.262819458404351494E+02    0.545552530011139503E+01    0.104828866460461678E+01   -0.167267248535156250E+04
    0.483276171519646809E+02    0.490984372700475760E+02    0.261421243842659479E+02    0.536804475350981214E+01    0.118931831991596049E+01    0.590050894771320777E+00    0.847203976983369955E+02    0.263321972197946224E+02    0.539099699888719108E+01    0.929986728703120047E+00   -0.167258349609375000E+04
    0.483344220325649019E+02    0.491239234902757360E+02    0.261040423881945003E+02    0.541124041199552153E+01    0.125242653653977642E+01    0.565196787932264910E+00    0.846860109946034640E+02    0.262181996336781680E+02    0.558394861602924841E+01    0.106773444010232765E+01   -0.167248461914062500E+04
    0.482711124918966661E+02    0.490760378875132730E+02    0.261437176811213234E+02    0.528966068034814274E+01    0.115453265306423214E+01    0.572603315668621993E+00    0.844396168389789068E+02    0.262876173813328045E+02    0.542286828652096986E+01    0.856848178349199907E+00   -0.167245495605468750E+04
    0.483179486703301109E+02    0.490748559938481321E+02    0.261767824315264512E+02    0.521881967945288050E+01    0.110384074943768784E+01    0.591886618313997137E+00    0.831158919871904232E+02    0.262756227463562233E+02    0.556639329536249150E+01    0.110337641196134495E+01   -0.167234887695312500E+04
    0.482916382495718963E+02    0.491194710260524090E+02    0.261572077621979808E+02    0.526511453507055993E+01    0.111027543948329188E+01    0.583437232936011019E+00    0.853048325631652347E+02    0.263192206441203851E+02    0.529111149369757072E+01    0.840246549700246370E+00   -0.167218994140625000E+04
    0.483819278254315748E+02    0.491057905915323687E+02    0.261475411438569907E+02    0.536665340117197687E+01    0.127269392066497633E+01    0.598509021529862961E+00    0.847955781777620246E+02    0.263503325248826954E+02    0.518463957211011728E+01    0.915496469809971902E+00   -0.167207995605468750E+04
    0.483034766779473301E+02    0.491209118800150009E+02    0.261673087826397293E+02    0.524650934541184188E+01    0.113649402723300330E+01    0.579315433363602805E+00    0.848020655020211791E+02    0.262704505110656896E+02    0.547186451694550158E+01    0.978146552233755351E+00   -0.167207080078125000E+04
    0.483309521088363070E+02    0.491339393249183658E+02    0.261332486363670959E+02    0.543717268377181195E+01    0.127915066654270682E+01    0.585234021861883225E+00    0.845757082906933420E+02    0.262416177142138238E+02    0.566170769249662431E+01    0.112782698342651555E+01   -0.167193676757812500E+04
    0.483836818018357064E+02    0.491055570745673933E+02    0.261469828630401864E+02    0.526712426498514130E+01    0.119306638801931841E+01    0.586075963860949178E+00    0.855465943772877893E+02    0.262832736555886974E+02    0.552503951179110153E+01    0.112217022458573012E+01   -0.167193627929687500E+04
    0.483542031079646506E+02    0.491036307466965525E+02    0.261386678554255667E+02    0.541711765262156941E+01    0.121582226903337176E+01    0.582001971934070550E+00    0.827150513284058491E+02    0.262761033400826456E+02    0.541670483235760347E+01    0.108628798412997019E+01   -0.167188708496093750E+04
    0.482714450237935750E+02    0.491108037927737300E+02    0.261567620839072070E+02    0.525925054373154222E+01    0.109196266456445601E+01    0.583191994283158932E+00    0.841556501055121942E+02    0.262578798836334109E+02    0.552470336622391844E+01    0.103480852668502754E+01   -0.167180371093750000E+04
    0.482737968088436915E+02    0.491062087701575081E+02    0.261440511810436185E+02    0.542570053882221170E+01    0.121966650384304254E+01    0.596858959124041077E+00    0.847767953453447944E+02    0.262995220751461289E+02    0.548861668730183094E+01    0.104331558175886574E+01   -0.167167822265625000E+04
    0.483609360405774709E+02    0.491149992444039398E+02    0.261533627774124291E+02    0.528865771783604011E+01    0.119105383259848141E+01    0.589887239922453732E+00    0.818421441584095533E+02    0.263083848911263374E+02    0.541773623827697026E+01    0.980056202670531174E+00   -0.167165368652343750E+04
    0.483433242048624123E+02    0.491288085169588413E+02    0.261437992469263669E+02    0.524630661329796588E+01    0.117664018209891941E+01    0.578412419541469713E+00    0.824843653563235080E+02    0.262768445011349172E+02    0.555024737349940800E+01    0.105939963745956955E+01   -0.167160131835937500E+04
    0.483129416829139657E+02    0.491105493348159641E+02    0.261301929522403178E+02    0.541472685230816975E+01    0.124162848285584060E+01    0.585737497912670491E+00    0.816763502567311264E+02    0.262836731144461666E+02    0.545930616367545607E+01    0.105350512215972225E+01   -0.167158203125000000E+04
    0.483687962992053002E+02    0.491242872705688427E+02    0.261446820226429324E+02    0.532299154937749108E+01    0.126325297503960154E+01    0.582846131304173398E+00    0.845304202210911626E+02    0.263254800145815544E+02    0.525141393972942616E+01    0.840643532164443985E+00   -0.167157617187500000E+04
    0.483820114798028484E+02    0.490771538487768240E+02    0.261833925972893766E+02    0.513447921896632842E+01    0.111370000267541025E+01    0.588588474536483885E+00    0.843319774953366164E+02    0.262852212077960914E+02    0.545600289151253381E+01    0.110000717036251050E+01   -0.167157006835937500E+04
    0.483263095848810096E+02    0.491282454706487712E+02    0.261220502391302531E+02    0.539679290897798047E+01    0.128886727562794068E+01    0.580584785213077881E+00    0.842066713496786292E+02    0.262709269628897246E+02    0.542720740635752907E+01    0.953687790325230655E+00   -0.167144909667968750E+04
    0.483904911116210954E+02    0.490961051396388655E+02    0.261159690488118024E+02    0.543533808454758294E+01    0.124837943393737394E+01    0.580881485101176653E+00    0.840269493100832108E+02    0.263333821460789217E+02    0.517838166886664197E+01    0.829445564736019714E+00   -0.167142553710937500E+04
    0.483387677731695078E+02    0.490730620494028571E+02    0.261310201266035307E+02    0.538538936661392942E+01    0.119540028596598780E+01    0.583619325086949248E+00    0.861236157791076380E+02    0.262599999447350250E+02    0.560533502606596823E+01    0.102972821459189268E+01   -0.167139770507812500E+04
    0.483015281005044628E+02    0.491061250381530172E+02    0.261557653190427004E+02    0.535900247340233715E+01    0.122092150652670384E+01    0.596038273201466184E+00    0.829551872064977829E+02    0.263477884591850042E+02    0.526611354485461014E+01    0.937161848088552962E+00   -0.167138183593750000E+04
    0.483789185441258383E+02    0.491169773684095858E+02    0.261861741336418206E+02    0.518307273145041236E+01    0.117815851540686589E+01    0.591730107620683232E+00    0.831508309776737349E+02    0.262995674069086505E+02    0.540131165365375843E+01    0.104702546613357939E+01   -0.167135937500000000E+04
    0.483697808104052029E+02    0.490785492391521814E+02    0.261717249885797898E+02    0.512192966003759054E+01    0.113445458215458439E+01    0.582764187465963257E+00    0.835189384129044470E+02    0.262815804307544099E+02    0.550603505792512227E+01    0.990318765141575907E+00   -0.167128149414062500E+04
    0.483281893784461687E+02    0.490850605617917779E+02    0.261174081997117291E+02    0.543057906063638196E+01    0.126923608071923466E+01    0.574044366931754313E+00    0.847496928407327914E+02    0.262085252045142170E+02    0.580361194694960769E+01    0.120397133937750400E+01   -0.167127392578125000E+04
    0.483622226831600699E+02    0.491048342301670004E+02    0.261132656949612674E+02    0.540999471691247802E+01    0.128579819107551652E+01    0.577813671116148897E+00    0.845151396742687382E+02    0.262911901804729098E+02    0.544570738616145089E+01    0.918904044060987246E+00   -0.167121313476562500E+04
    0.483463309292294738E+02    0.491366153505158394E+02    0.261789011746949356E+02    0.523363090204248138E+01    0.117701828410938925E+01    0.599109421356322058E+00    0.834914956460863493E+02    0.263391408840701828E+02    0.528379054261086178E+01    0.100995070428848344E+01   -0.167115161132812500E+04
    0.482500192397221994E+02    0.490973815936271478E+02    0.261212437324697220E+02    0.544663476011538350E+01    0.123643865623829963E+01    0.583963405721248385E+00    0.840384624126928088E+02    0.263185382739597955E+02    0.531355639357080189E+01    0.932094047109653046E+00   -0.167111450195312500E+04
    0.483088382669958847E+02    0.490839746275513775E+02    0.261400232825295795E+02    0.547273040617464179E+01    0.124051899217842743E+01    0.595965863183125166E+00    0.841014645257325526E+02    0.262874414573504787E+02    0.550423551204467909E+01    0.107998794313853663E+01   -0.167110595703125000E+04
    0.482543029523446236E+02    0.490996040471105104E+02    0.260840089706689504E+02    0.552912142029272413E+01    0.122153724617261705E+01    0.563999014161393308E+00    0.851939096256807034E+02    0.262259157936679088E+02    0.559427194440428366E+01    0.111571695881188182E+01   -0.167109692382812500E+04
    0.483719371112455434E+02    0.490954680522223441E+02    0.261843368006744477E+02    0.514759894729385081E+01    0.112272662645308308E+01    0.590348553756184335E+00    0.831527395252218753E+02    0.262823988688747150E+02    0.550679779089532762E+01    0.982406545821727040E+00   -0.167108959960937500E+04
    0.483217940702513431E+02    0.491298272962775755E+02    0.261317695568716317E+02    0.526982403995346349E+01    0.117729190707739728E+01    0.571972929301530875E+00    0.852762086888934334E+02    0.262624885464836098E+02    0.559986918429822200E+01    0.105005937166962404E+01   -0.167102575683593750E+04
    0.483769134539302783E+02    0.490934569443047621E+02    0.261224289387225248E+02    0.538521244173092306E+01    0.123432239380839048E+01    0.578315343555273254E+00    0.843629073540889465E+02    0.262757466518747407E+02    0.559167743200903722E+01    0.110944728805414217E+01   -0.167102026367187500E+04
    0.482785512972299955E+02    0.491017016212591670E+02    0.261833851244242055E+02    0.519226846770430672E+01    0.115630342819160736E+01    0.595556289988353194E+00    0.847974990129922617E+02    0.263371840064472913E+02    0.518070204199087314E+01    0.871923886029015716E+00   -0.167093457031250000E+04
    0.483801271868033993E+02    0.491181825122194766E+02    0.261847962324113226E+02    0.514108730069165443E+01    0.118759426549427594E+01    0.596196985536435853E+00    0.841170687814404516E+02    0.263464599232647529E+02    0.525253223803053970E+01    0.920675993725889485E+00   -0.167093041992187500E+04
    0.483804139050032589E+02    0.491307449417415754E+02    0.261238954920624593E+02    0.547883429043752912E+01    0.126515159056950566E+01    0.588342738690984524E+00    0.841798107583256581E+02    0.263000151645380349E+02    0.537071594606052294E+01    0.995801725058580445E+00   -0.167083679199218750E+04
    0.483427065285173683E+02    0.490849333968075427E+02    0.260947254533921154E+02    0.555874908879575447E+01    0.127002061809349098E+01    0.569036335592294162E+00    0.854321916587958299E+02    0.262701520233204810E+02    0.535049888369485682E+01    0.100412201437254467E+01   -0.167083300781250000E+04
    0.483183594933498384E+02    0.490828392672822034E+02    0.261655290795933837E+02    0.531379567888973536E+01    0.117589239722323069E+01    0.599906266493655860E+00    0.849178566506298580E+02    0.263237988795814246E+02    0.525422682294786192E+01    0.945806810448771573E+00   -0.167082629394531250E+04
    0.483298660696507909E+02    0.490957589014117488E+02    0.261016582704173956E+02    0.553591054442779917E+01    0.130851352996643455E+01    0.573340403761750106E+00    0.849376350844795240E+02    0.262954284584063558E+02    0.526478211059208601E+01    0.981105571058996317E+00   -0.167081909179687500E+04
    0.483284969957131025E+02    0.491143495740795473E+02    0.261690940371702894E+02    0.526034981722215278E+01    0.121853893165964222E+01    0.597519882101572919E+00    0.851532159168711189E+02    0.263131985983783387E+02    0.545913727750406874E+01    0.941723022069687166E+00   -0.167081811523437500E+04
    0.482722715883336946E+02    0.491054100548699779E+02    0.261480354521590321E+02    0.526348905030358161E+01    0.119237570906226420E+01    0.579378534121003930E+00    0.839383700179764674E+02    0.263136322310779818E+02    0.519208229865704585E+01    0.914382618496615285E+00   -0.167080627441406250E+04
    0.483408449011616099E+02    0.491051466679051885E+02    0.261681372482498809E+02    0.524702454993094403E+01    0.123779624241646946E+01    0.592872704778178994E+00    0.843437105176761577E+02    0.263508440211573358E+02    0.522576209195763308E+01    0.842150368622662460E+00   -0.167079504394531250E+04
