    0.701742589473724365E+02    0.241490602493286133E+02    0.114851331710815430E+02    0.886543171107769012E+02    0.875396162271499634E+00    0.536035418510437012E+00   -0.449731671810150146E+02    0.114967471361160278E+02    0.212486647069454193E+02    0.672133508324623108E+01   -0.744370311528448000E+15   -0.460515351937698814E+01    1
    0.419595301151275635E+02    0.348787903785705566E+01    0.113826102018356323E+02    0.485040664374828339E+02    0.671557548642158508E+01    0.773683011531829834E+00   -0.838473236560821533E+02    0.104677042365074158E+02    0.834730356335639954E+02    0.283540251851081848E+01   -0.487182963834880000E+14   -0.461515351937698259E+01    1
    0.531817972660064697E+02    0.893625259399414062E+02    0.232584780454635620E+02    0.273195573687553406E+02    0.629942271113395691E+01    0.674916803836822510E+00   -0.169824922084808350E+02    0.107066264748573303E+02    0.374846945106983185E+02    0.269922989606857300E+01   -0.299038062673920000E+14   -0.462515351937698149E+01    1
    0.702812194824218750E+02    0.539827346801757812E+02    0.217598176002502441E+02    0.198861662447452545E+02    0.645411553978919983E+01    0.562488198280334473E+00    0.602234995365142822E+02    0.119655406475067139E+02    0.780134696960449219E+02    0.721013146638870239E+01   -0.247644920217600000E+14   -0.463515351937698661E+01    1
    0.693634688854217529E+02    0.538981974124908447E+02    0.134216031432151794E+02    0.416671991050243378E+02    0.764927658438682556E+01    0.686322331428527832E+00   -0.793194973468780518E+02    0.323109275102615356E+02    0.405887200534343719E+02    0.173837366700172424E+01   -0.131216137256960000E+14   -0.464515351937698728E+01    1
    0.394797563552856445E+02    0.618777573108673096E+02    0.223304992914199829E+02    0.103709110617637634E+02    0.134572196006774902E+01    0.540838956832885742E+00    0.458755052089691162E+02    0.123992270231246948E+02    0.460042864084243774E+02    0.185626211762428284E+01   -0.126301272801280000E+14   -0.465515351937698174E+01    1
    0.485990941524505615E+02    0.736129164695739746E+02    0.114375939965248108E+02    0.965594686865806580E+02    0.154195997118949890E+01    0.778556287288665771E+00   -0.747147989273071289E+02    0.166038697957992554E+02    0.956029477715492249E+02    0.288749280571937561E+01   -0.101215738265600000E+14   -0.466515351937698153E+01    1
    0.589287340641021729E+02    0.613637089729309082E+02    0.137787586450576782E+02    0.252793206274509430E+02    0.259458485245704651E+01    0.535210967063903809E+00   -0.189385414123535156E+02    0.262160858511924744E+02    0.828512709438800812E+02    0.478479671478271484E+01   -0.794847766118400000E+13   -0.467515351937698398E+01    1
    0.948454856872558594E+02    0.817983746528625488E+02    0.185146412253379822E+02    0.641363666951656342E+02    0.257840353250503540E+01    0.949739515781402588E+00    0.551926195621490479E+02    0.105752995610237122E+02    0.365363638401031494E+02    0.514037179946899414E+01   -0.765867904204800000E+13   -0.468515351937698377E+01    1
    0.323933959007263184E+01    0.262637794017791748E+02    0.242162039875984192E+02    0.275596542954444885E+02    0.384294348955154419E+01    0.706934988498687744E+00    0.846843874454498291E+02    0.110899409651756287E+02    0.909947936236858368E+02    0.180475074052810669E+01   -0.595320845107200000E+13   -0.469515351937698444E+01    1
